research_field,topic_words,topic_label
Legal Theory,"positivism, natural, rights, morality, rule",Natural Law vs Legal Positivism
Legal Theory,"jurisprudence, interpretation, adjudication, precedent, statute",Jurisprudential Theory and Interpretation
Legal Theory,"critical, race, gender, marxist, feminist",Critical Legal Theory
Legal Theory,"utility, efficiency, welfare, economics, coase",Law and Economics
Legal Theory,"sovereignty, legitimacy, authority, coercion, state",Legal Authority and Sovereignty
Legal Theory,"hartz, dworkin, finnis, kelsen, austin",Key Legal Theorists
Legal Theory,"justice, fairness, equality, distributive, procedural",Theories of Justice in Law
History of Religions of Eastern Origins,"dharma, karma, samsara, moksha, hinduism",Indic Religious Concepts
History of Religions of Eastern Origins,"tao, wu-wei, yin-yang, chi, immortality",Taoist Philosophy and Practice
History of Religions of Eastern Origins,"buddha, nirvana, siddhartha, dhamma, sangha",Early Buddhist Foundations
History of Religions of Eastern Origins,"shinto, kami, shrine, torii, ritual",Japanese Shinto Practices
History of Religions of Eastern Origins,"confucius, ren, li, filial, piety",Core Confucian Ethics
History of Religions of Eastern Origins,"zen, chan, meditation, koan, satori",Zen and Chan Buddhism
History of Religions of Eastern Origins,"jainism, ahimsa, tirthankara, asceticism, non-violence",Jain Fundamental Principles
Asian History,"dynasty, emperor, mandate, bureaucracy, imperial",Chinese Imperial History
Asian History,"indus, buddhism, mughal, partition, colonialism",South Asian Historical Eras
Asian History,"shogun, meiji, samurai, tokugawa, imperialism",Japanese Pre-Modern & Modern
Asian History,"vietnam, korea, cambodia, archipelago, maritime",Southeast Asian History
Asian History,"silk, trade, exchange, maritime, buddhist",Asian Trade Networks
Asian History,"colonization, war, postcolonial, nationalism, resistance",Modern Colonial/Postcolonial Asia
Asian History,"caste, gender, peasant, social, labor",Social History and Class
Hip Hop Studies,"djing, turntables, beats, sampling, scratching",Turntablism and DJ Culture
Hip Hop Studies,"rapping, emceeing, lyrics, rhyme, flow",MCing and Lyrical Poetics
Hip Hop Studies,"breaking, b-boy, dance, footwork, powermoves",Breaking Dance Forms
Hip Hop Studies,"graffiti, writing, tags, aerosol, mural",Graffiti and Visual Art
Hip Hop Studies,"subcultures, metropolis, identity, conflict, urban",Urban Cultural Dynamics
Hip Hop Studies,"commercialization, industry, media, market, global",Industry and Global Reach
Hip Hop Studies,"politics, activism, resistance, race, social",Political and Social Commentary
Aesthetics,"beauty, sublime, grace, charm, elegance",Aesthetic Values and Properties
Aesthetics,"judgment, taste, disinterest, normative, immediacy",Aesthetic Judgment and Taste
Aesthetics,"experience, attitude, pleasure, perception, emotion",Aesthetic Experience and Perception
Aesthetics,"definition, ontology, non-art, conventionalist, categories",Philosophy of Art Definitions
Aesthetics,"expression, artist, creativity, originality, mind",Art as Expression
Aesthetics,"empirical, neuroaesthetics, visual, psychology, scientific",Empirical Aesthetics Research
Aesthetics,"nature, landscape, environmental, appreciation, natural",Aesthetics of Nature
The Sun and the Solar System,"corona, solar, wind, flares, magnetic",Solar Atmosphere and Activity
The Sun and the Solar System,"planets, terrestrial, gas, dwarf, orbit",Planetary Classification and Dynamics
The Sun and the Solar System,"jupiter, saturn, uranus, neptune, giants",Outer Gas Giant Planets
The Sun and the Solar System,"comets, asteroids, belt, oort, kuiper",Minor Solar System Bodies
The Sun and the Solar System,"formation, nebula, accretion, protoplanetary, disk",Solar System Formation
The Sun and the Solar System,"space, weather, geomagnetic, radiation, effects",Space Weather Impacts
The Sun and the Solar System,"helioseismology, interior, convection, nuclear, fusion",Solar Interior Structure
Hindu Studies,"dharma, karma, samsara, moksha, reincarnation",Cycles of Life and Liberation
Hindu Studies,"vedas, rig, upanisads, brahmanas, shruti",Vedic Texts and Scriptures
Hindu Studies,"brahman, atman, maya, advaita, shankara",Vedanta Philosophical Concepts
Hindu Studies,"bhakti, devotion, puja, temple, murti",Hindu Devotional Practices
Hindu Studies,"vishnu, shiva, shakti, trimurti, deities",Major Hindu Deities
Hindu Studies,"yoga, meditation, asanas, pranayama, discipline",Philosophies and Practices of Yoga
Hindu Studies,"gita, mahabharata, epic, krishna, arjuna",Bhagavad Gita and Epics
Spanish Literature,"cervantes, quijote, golden, picaresque, drama",Spanish Golden Age Literature
Spanish Literature,"góngora, quevedo, baroque, poetry, conceptism",Baroque Poetry and Style
Spanish Literature,"galdós, realism, naturalism, novel, nineteenth",19th Century Spanish Realism
Spanish Literature,"lorca, generation, poetry, surrealism, civil",Generation of '27
Spanish Literature,"boom, magical, realism, garcía, márquez",Latin American Boom
Spanish Literature,"narrative, author, reader, voice, discourse",Literary Theory and Narrative
Spanish Literature,"feminism, gender, women's, identity, sexuality",Gender Studies in Literature
Meat Science,"tenderness, marbling, color, ph, texture",Meat Quality Attributes
Meat Science,"microorganisms, pathogen, safety, haccp, spoilage",Meat Safety and Microbiology
Meat Science,"curing, nitrite, smoking, preservation, processing",Meat Processing Techniques
Meat Science,"muscle, protein, collagen, sarcomere, biochemistry",Muscle Biochemistry and Structure
Meat Science,"fat, composition, nutrition, value, dietary",Nutritive Value of Meat
Meat Science,"cookery, temperature, doneness, handling, method",Meat Cooking and Handling
Meat Science,"carcass, yield, grading, evaluation, beef",Carcass Evaluation and Grading
Mormon Studies,"joseph, smith, brigham, young, restoration",Founding Figures and History
Mormon Studies,"book, mormon, doctrine, covenants, pearl",Standard Works of Scripture
Mormon Studies,"temple, ordinances, endowment, sealing, ritual",Temple Worship and Rituals
Mormon Studies,"polygamy, plural, marriage, succession, revelation",Plural Marriage and Succession
Mormon Studies,"zion, deseret, migration, utah, settlement",Western Migration and Settlement
Mormon Studies,"priesthood, aaronic, melchizedek, authority, organization",Priesthood Structure and Authority
Mormon Studies,"celestial, kingdom, telestial, terrestrial, afterlife",Plan of Salvation
Genealogy,"census, records, enumeration, schedules, federal",Census Records Research
Genealogy,"y-dna, mtdna, autosomal, haplogroup, matches",Genealogical DNA Testing
Genealogy,"birth, death, marriage, vital, certificates",Vital Records Documentation
Genealogy,"probate, wills, inheritance, courts, administration",Probate and Will Records
Genealogy,"land, deeds, grants, property, plat",Land and Property Records
Genealogy,"pension, muster, service, draft, military",Military Service Records
Genealogy,"immigration, naturalization, passenger, arrival, port",Migration and Naturalization Records
Databases and Information Systems,"sql, relational, schema, query, normalization",Relational Database Design
Databases and Information Systems,"nosql, document, key-value, column, graph",NoSQL Database Types
Databases and Information Systems,"mining, knowledge, discovery, patterns, algorithms",Data Mining & Discovery
Databases and Information Systems,"warehouse, etl, olap, cubes, business",Data Warehousing and BI
Databases and Information Systems,"security, access, encryption, privacy, control",Database Security Measures
Databases and Information Systems,"bigdata, hadoop, spark, distributed, processing",Big Data Technologies
Databases and Information Systems,"architecture, three-tier, client-server, cloud, model",Information System Architectures
German Literature,"goethe, faust, romanticism, weimar, storm",Goethe and Classicism
German Literature,"kafka, modernism, existentialism, prague, trial",Kafka and Modernist Literature
German Literature,"brecht, epic, theater, alienation, marxism",Brecht's Epic Theater
German Literature,"grimms, folktales, linguistics, philology, mythology",Grimm Brothers' Philology
German Literature,"post-war, group-47, rubble, aesthetics, literature",Post-War German Literature
German Literature,"enlightenment, lessing, drama, rationalism, aesthetic",German Enlightenment Literature
German Literature,"gdr, ostliteratur, censorship, berlin, division",GDR and East German Texts
Hawaiian Studies,"kanaka, maoli, sovereignty, self-determination, land",Hawaiian Sovereignty Movement
Hawaiian Studies,"kalo, wai, ahupuaʻa, agriculture, resource",Traditional Land & Water Systems
Hawaiian Studies,"hula, mele, oli, chant, performance",Traditional Hawaiian Arts
Hawaiian Studies,"pidgin, creole, language, revitalization, teaching",Hawaiian Language Revival
Hawaiian Studies,"aliʻi, chiefdoms, kapu, moʻī, social",Pre-Contact Political Structure
Hawaiian Studies,"missionaries, annexation, overthrow, sugar, tourism",History of Colonization
Hawaiian Studies,"ocean, navigation, voyaging, waʻa, fishing",Traditional Oceanic Navigation
Classical Literature and Philology,"latin, greek, etymology, linguistics, diachronic",Classical Linguistics and Etymology
Classical Literature and Philology,"homer, iliad, odyssey, epic, formulaic",Homeric Epic Studies
Classical Literature and Philology,"tragedy, aeschylus, sophocles, euripides, drama",Ancient Greek Tragedy
Classical Literature and Philology,"manuscript, textual, criticism, palaeography, recension",Textual Criticism & Transmission
Classical Literature and Philology,"virgil, aeneid, poetry, augustan, mythology",Roman Epic Poetry
Classical Literature and Philology,"plato, aristotle, dialogue, ethics, metaphysics",Classical Philosophy Texts
Classical Literature and Philology,"ovid, catullus, lyric, elegy, meter",Latin Lyric and Elegy
Volcanology,"magma, chamber, crust, melt, geochemistry",Magma Processes and Geochemistry
Volcanology,"eruption, explosive, effusive, vent, column",Volcanic Eruption Types
Volcanology,"pyroclastic, flow, tephra, ash, deposit",Pyroclastic Hazards and Deposits
Volcanology,"lava, flow, tube, basalt, viscosity",Lava Flows and Rheology
Volcanology,"caldera, crater, collapse, structure, edifice",Volcanic Landforms and Structures
Volcanology,"seismic, deformation, monitoring, gas, hazard",Volcano Monitoring and Hazards
Volcanology,"lahar, debris, water, flow, volcanic",Lahar and Debris Flows
Graphic Design,"typography, typeface, font, serif, readability",Typographic Design Principles
Graphic Design,"branding, identity, logo, visual, guidelines",Visual Identity and Branding
Graphic Design,"layout, grid, composition, hierarchy, balance",Composition and Layout Design
Graphic Design,"user, experience, interface, interaction, usability",User Experience/Interface Design
Graphic Design,"color, theory, palette, harmony, psychology",Color Theory in Design
Graphic Design,"print, offset, prepress, resolution, bleed",Print Production and Prepress
Graphic Design,"illustration, vector, raster, drawing, digital",Digital Illustration Techniques
Japanese Studies,"shogun, samurai, edo, feudal, tokugawa",Japanese Feudal History
Japanese Studies,"manga, anime, otaku, subculture, pop",Modern Japanese Pop Culture
Japanese Studies,"meiji, restoration, modernization, imperial, reform",Meiji Restoration Era
Japanese Studies,"zen, buddhism, shinto, religion, ritual",Japanese Religion and Philosophy
Japanese Studies,"demographics, aging, population, shrinking, social",Japanese Demographic Issues
Japanese Studies,"haiku, novel, literature, poetry, murakami",Japanese Literary Genres
Japanese Studies,"kimono, fashion, traditional, style, design",Japanese Traditional Fashion
Integumentary System,"epidermis, keratinocytes, barrier, stratum, basale",Epidermal Structure & Function
Integumentary System,"melanin, melanocytes, uv, pigmentation, sunlight",Skin Color and Pigmentation
Integumentary System,"dermis, collagen, elastin, fibroblasts, matrix",Dermal Connective Tissue
Integumentary System,"hair, follicle, gland, sebaceous, sweat",Skin Appendages Research
Integumentary System,"wound, healing, repair, inflammation, regeneration",Wound Healing Processes
Integumentary System,"cancer, melanoma, carcinoma, basal, squamous",Integumentary System Oncology
Integumentary System,"acne, psoriasis, eczema, dermatitis, inflammation",Common Dermatological Conditions
Metaphysics,"being, existence, ontology, substance, categories",Existence and Categories of Being
Metaphysics,"cause, effect, causality, determinism, agency",Metaphysics of Causation
Metaphysics,"universal, particular, property, abstract, nominalism",Universals and Particulars
Metaphysics,"possible, necessary, modal, worlds, contingency",Modal Metaphysics
Metaphysics,"identity, persistence, time, change, endurance",Identity and Persistence over Time
Metaphysics,"mind, body, dualism, physicalism, consciousness",Mind-Body Problem
Metaphysics,"space, time, relational, substantival, continuum",Space and Time Theories
American Film Studies,"hollywood, studio, system, production, history",Classical Hollywood Studio System
American Film Studies,"gender, representation, stereotype, queer, feminism",Gender and Representation in Film
American Film Studies,"indie, independent, arthouse, festival, distribution",American Independent Cinema
American Film Studies,"censorship, hays, code, regulation, morality",Film Censorship and Regulation
American Film Studies,"genre, western, noir, musical, horror",American Film Genre Studies
American Film Studies,"race, ethnicity, minority, identity, stereotype",Race and Ethnicity in Film
American Film Studies,"digital, streaming, netflix, platform, media",Digital Film Culture and Media
Poetry,"meter, rhythm, foot, scansion, stress",Poetic Meter and Rhythm
Poetry,"sonnet, ode, villanelle, haiku, form",Fixed Poetic Forms
Poetry,"metaphor, simile, imagery, symbolism, trope",Figurative Language & Tropes
Poetry,"lyric, epic, dramatic, narrative, genre",Poetry Genres and Modes
Poetry,"modernism, imagism, postmodernism, avant-garde, movement",Modern Poetic Movements
Poetry,"translation, language, original, intertextuality, interpretation",Poetry Translation Studies
Poetry,"performance, spoken, word, slam, oral",Spoken Word Performance
Scholarly Publishing,"open, access, model, gold, green",Open Access Models
Scholarly Publishing,"peer, review, blind, editorial, process",Peer Review Processes
Scholarly Publishing,"journal, impact, factor, citation, metrics",Journal Metrics & Evaluation
Scholarly Publishing,"predatory, publishing, scams, integrity, ethics",Scholarly Ethics & Integrity
Scholarly Publishing,"copyright, licensing, creative, commons, rights",Copyright and Licensing
Scholarly Publishing,"repository, institutional, preprint, archive, sharing",Scholarly Repositories and Archiving
Scholarly Publishing,"data, management, sharing, reproducibility, storage",Research Data Publishing
Wounds and Injuries,"healing, inflammation, regeneration, fibrosis, scar",Wound Healing Mechanisms
Wounds and Injuries,"trauma, injury, severity, triage, emergency",Acute Trauma Management
Wounds and Injuries,"chronic, ulcer, diabetic, pressure, infection",Chronic Wound Care
Wounds and Injuries,"burns, thermal, chemical, skin, grafting",Burn Injury Studies
Wounds and Injuries,"biomechanics, impact, blunt, penetrating, protection",Injury Biomechanics
Wounds and Injuries,"prevention, safety, risk, intervention, epidemiology",Injury Prevention & Safety
Wounds and Injuries,"dressing, bandage, sutures, closure, management",Wound Dressing and Closure
Physical Chemistry,"thermodynamics, entropy, enthalpy, gibbs, equilibrium",Chemical Thermodynamics
Physical Chemistry,"kinetics, rate, reaction, mechanism, catalysis",Reaction Kinetics
Physical Chemistry,"quantum, mechanics, molecular, orbital, schrödinger",Quantum Chemistry
Physical Chemistry,"spectroscopy, absorption, emission, vibrational, raman",Molecular Spectroscopy
Physical Chemistry,"surface, adsorption, interface, heterogeneous, catalyst",Surface Chemistry
Physical Chemistry,"statistical, ensemble, partition, boltzmann, microstate",Statistical Mechanics
Physical Chemistry,"electrochemistry, potential, electrode, cell, current",Electrochemical Systems
Other Economics,"behavioral, nudges, psychology, decisions, cognitive",Behavioral Economics Insights
Other Economics,"law, regulation, contracts, liability, taxation",Law and Economic Regulation
Other Economics,"digital, platform, gig, sharing, commerce",Digital and Platform Economy
Other Economics,"experimental, field, lab, incentives, design",Experimental Economics Methods
Other Economics,"happiness, wellbeing, utility, life, satisfaction",Economics of Happiness
Other Economics,"inequality, mobility, wealth, poverty, distribution",Socio-Economic Inequality
Other Economics,"complexity, agent, simulation, networks, adaptation",Complex Adaptive Systems
Glass Arts,"blowpipe, furnace, gathers, glory, marver",Hot Glassblowing Techniques
Glass Arts,"kiln, fusing, slumping, casting, heat",Kiln-Forming Glass Art
Glass Arts,"cutting, grinding, polishing, engraving, cold",Cold Glass Working Processes
Glass Arts,"frit, cane, millefiori, rod, color",Glass Color Application
Glass Arts,"stained, leaded, solder, came, window",Stained Glass Artistry
Glass Arts,"silica, soda, lime, oxide, composition",Glass Material Chemistry
Glass Arts,"mold, pattern, free-blowing, sculpture, form",Glass Forming and Shaping
Other Sociology,"knowledge, production, science, technology, studies",Science & Technology Studies
Other Sociology,"health, illness, medicalization, bodies, healthcare",Sociology of Health & Illness
Other Sociology,"space, urban, place, community, built",Urban Sociology & Space
Other Sociology,"consumption, consumer, culture, markets, goods",Sociology of Consumption
Other Sociology,"media, digital, communication, internet, social",Digital & Media Sociology
Other Sociology,"emotion, feeling, interaction, affect, management",Sociology of Emotion
Other Sociology,"food, system, agriculture, consumption, security",Sociology of Food Systems
Catholic Studies,"vatican, council, aggiornamento, modernization, liturgy",Second Vatican Council
Catholic Studies,"sacraments, eucharist, baptism, penance, holy",Catholic Sacramental Theology
Catholic Studies,"mary, marian, veneration, assumption, dogma",Marian Devotion and Doctrine
Catholic Studies,"dignity, justice, common, subsidiarity, wealth",Catholic Social Teaching
Catholic Studies,"theology, doctrine, dogmas, nature, grace",Roman Catholic Theology
Catholic Studies,"art, renaissance, gothic, architecture, iconography",History of Catholic Art
Catholic Studies,"pope, papacy, infallibility, authority, magisterium",Papal Authority and Magisterium
Accessibility,"screen, reader, assistive, technology, voice",Assistive Technology Use
Accessibility,"web, content, guidelines, compliance, standards",Web Accessibility Standards
