research_field,topic_label,topic_words
Artificial Intelligence,Natural Language Processing,"natural, language, processing, text, understanding"
Artificial Intelligence,Reinforcement Learning Agents,"reinforcement, agent, environment, reward, policy"
Artificial Intelligence,AI Ethics and Fairness,"data, bias, fairness, ethics, transparency"
Artificial Intelligence,Knowledge Representation & Logic,"knowledge, representation, reasoning, ontology, logic"
Knowledge Representation,Formal Ontology and Logic,"ontology, logic, semantics, description, reasoning"
Knowledge Representation,Nonmonotonic Reasoning Systems,"nonmonotonic, defeasibility, belief, revision, default"
Knowledge Representation,Structured Representation Formalisms,"rules, production, frames, networks, semantic"
Knowledge Representation,Agent Knowledge and Reasoning,"agent, architecture, intelligent, belief, intention"
Knowledge Representation,Explainable Knowledge Representation,"explainable, interpretability, transparency, symbolic, justification"
Non-Monotonic Reasoning,Default Logic and Uncertainty,"defeasibility, logic, inference, default, uncertainty"
Non-Monotonic Reasoning,First-Order Circumscription,"circumscription, minimization, predicate, abnormal, models"
Non-Monotonic Reasoning,Autoepistemic Logic,"autoepistemic, belief, knowledge, extensions, stable"
Non-Monotonic Reasoning,Abductive Reasoning Formalisms,"abduction, explanation, hypothesis, diagnostics, evidence"
Non-Monotonic Reasoning,Belief Revision and Change,"revision, change, contraction, expansion, theory"
Non-Monotonic Reasoning,Abstract Argumentation Frameworks,"argumentation, semantics, frameworks, attack, justification"
Explainable AI,Post-hoc Explainability Methods,"post-hoc, lime, shap, explanation, approximation"
Explainable AI,Ethical AI and Trust,"fairness, bias, accountability, ethics, trust"
Explainable AI,Causal and Counterfactual Explanations,"counterfactual, recourse, causal, what-if, influence"
Explainable AI,Human-Centered XAI,"human, user, interface, evaluation, cognition"
Explainable AI,Visual Explanation Techniques,"visual, heatmap, saliency, attention, visualization"
Commonsense Reasoning,Inference in Commonsense,"inference, nonmonotonic, logic, deduction, abduction"
Commonsense Reasoning,Temporal and Causal Reasoning,"time, causality, actions, events, planning"
Commonsense Reasoning,Mental State Reasoning,"beliefs, desires, intentions, emotions, theory"
Commonsense Reasoning,Data and Benchmarking,"crowdsourcing, human, labeling, evaluation, benchmarks"
Logic and Ontology,First-Order Logic Foundations,"first-order, quantifiers, predicates, logic, semantics"
Logic and Ontology,Knowledge Representation and Inference,"knowledge, representation, reasoning, inference, axioms"
Logic and Ontology,Description Logic Modeling,"classes, roles, individuals, dl, description"
Logic and Ontology,Ontologies for Semantic Web,"semantic, web, owl, rdf, alignment"
Logic and Ontology,Non-Classical and Modal Logics,"modal, temporal, non-monotonic, default, belief"
Logic and Ontology,Automated Reasoning and Proof,"automated, theorem, proving, resolution, unification"
Logic and Ontology,Logic-Based Knowledge Graphs,"graph, data, schema, linked, triple"
Neuro-Symbolic AI,Neuro-Symbolic Integration,"neural, symbolic, integration, knowledge, logic"
Neuro-Symbolic AI,Automated Reasoning & Planning,"reasoning, automatic, planning, constraints, consistency"
Neuro-Symbolic AI,Knowledge Representation,"representation, graph, ontology, facts, rules"
Neuro-Symbolic AI,Explainable Neuro-Symbolic AI,"explainable, interpretability, trust, transparency, insights"
Neuro-Symbolic AI,Differentiable Logic Programming,"program, synthesis, logic, programming, differentiable"
Neuro-Symbolic AI,Neuro-Symbolic Applications,"commonsense, robotics, nlp, vision, application"
Explainable AI,Foundational XAI Concepts,"interpretability, transparency, trust, fidelity, auditability"
Explainable AI,Model-Agnostic Explainers,"lime, shap, agnostic, local, importance"
Explainable AI,Feature Importance & Visualization,"features, relevance, attribution, heatmaps, visualization"
Explainable AI,Responsible AI and XAI,"responsible, fairness, bias, governance, ethics"
Explainable AI,Causal and Contrastive Explanations,"causality, counterfactual, systems, why, what-if"
Explainable AI,Inherently Interpretable Models,"rules, trees, linear, logic, inherent"
Generative AI,Generative Adversarial Networks,"gan, adversarial, generator, discriminator, network"
Generative AI,Transformer-based Models,"transformer, attention, sequence, language, modeling"
Generative AI,Text-to-Image Generation,"text, image, synthesis, multimodal, generation"
Generative AI,Controlled Content Generation,"prompt, engineering, control, conditioning, inputs"
Generative AI,Generative AI Ethics,"ethical, bias, safety, alignment, responsible"
Knowledge Representation & Reasoning,Ontological Knowledge Representation,"ontology, logic, semantics, description, inference"
Knowledge Representation & Reasoning,Nonmonotonic Logic and Belief Revision,"nonmonotonic, defeasible, revision, belief, update"
Knowledge Representation & Reasoning,Commonsense and Qualitative Reasoning,"commonsense, knowledgebase, concept, context, qualitative"
Knowledge Representation & Reasoning,Knowledge Graphs and Semantic Networks,"graph, semantic, network, frame, relationships"
Knowledge Representation & Reasoning,Logic Programming and Deduction,"logic, programming, prolog, rule, deductive"
Knowledge Representation & Reasoning,Automated Reasoning and Theorem Proving,"automated, theorem, proving, satisfiability, solver"
Knowledge Representation & Reasoning,Neuro-Symbolic Integration,"neurosymbolic, integration, neural, logic, hybrid"
Machine Learning,Deep Learning Optimization,"gradient, loss, backpropagation, weights, optimization"
Machine Learning,Reinforcement Learning Agents,"reinforcement, agent, environment, reward, policy"
Machine Learning,Unsupervised Learning Techniques,"unsupervised, clustering, dimensionality, reduction, manifold"
Machine Learning,Ethical AI and Fairness,"dataset, bias, fairness, interpretability, ethics"
Machine Learning,Convolutional Neural Networks,"convolutional, neural, image, vision, recognition"
Machine Learning,Attention Mechanisms in NLP,"transformer, attention, sequence, nlp, language"
Machine Learning,Tree-Based Ensemble Methods,"trees, ensemble, boosting, random, forest"
Face Recognition,Facial Detection and Alignment,"detection, tracking, alignment, localization, features"
Face Recognition,Deep Learning for Recognition,"deep, convolutional, network, learning, embeddings"
Face Recognition,Robustness to Face Variations,"illumination, pose, occlusion, robustness, variations"
Face Recognition,Age-Invariant Recognition,"age, invariance, cross-age, aging, progression"
Face Recognition,Facial Expression and Emotion,"expression, emotion, analysis, behavioral, dynamic"
Face Recognition,Biometric Security and Liveness,"biometric, verification, identification, liveness, spoofing"
Pattern Recognition,Supervised Pattern Classification,"classification, features, training, testing, model"
Pattern Recognition,Unsupervised Data Clustering,"clustering, unsupervised, similarity, distance, groups"
Pattern Recognition,Deep Learning Techniques,"deep, networks, convolutional, recurrent, learning"
Pattern Recognition,Visual Pattern Recognition,"image, pixels, segmentation, object, detection"
Pattern Recognition,Acoustic Pattern Analysis,"speech, audio, voice, recognition, signal"
Pattern Recognition,Temporal Sequence Mining,"sequential, temporal, series, dynamics, prediction"
Pattern Recognition,Feature Engineering & Reduction,"feature, extraction, selection, dimensionality, reduction"
Signal Processing,Digital Signal Processing Fundamentals,"digital, sampling, quantization, filtering, transforms"
Signal Processing,Audio & Speech Signal Processing,"audio, speech, acoustic, music, compression"
Signal Processing,Image and Video Processing,"image, video, processing, segmentation, computer"
Signal Processing,Wireless Communications Signal Processing,"wireless, communication, channel, mimo, waveform"
Signal Processing,Time-Frequency Spectral Analysis,"time, frequency, analysis, spectral, estimation"
Signal Processing,Signal Processing via AI/ML,"machine, learning, deep, neural, algorithms"
Signal Processing,Sensor Array Signal Processing,"sensor, array, radar, detection, estimation"
Artificial Intelligence,Deep Neural Networks,"neural, networks, deep, learning, model"
Artificial Intelligence,Reinforcement Learning Agents,"reinforcement, agent, reward, policy, environment"
Artificial Intelligence,Natural Language Processing,"language, natural, processing, semantics, text"
Artificial Intelligence,Image Recognition & Vision,"computer, vision, image, detection, recognition"
Artificial Intelligence,Knowledge Representation Logic,"logic, knowledge, reasoning, representation, ontology"
Artificial Intelligence,Explainable AI (XAI),"explainable, interpretability, transparency, xai, feature"
Cognitive Science,Human Memory Processes,"memory, encoding, retrieval, working, long-term"
Cognitive Science,Sensory Perception and Processing,"perception, sensory, processing, visual, auditory"
Cognitive Science,Language and Communication,"language, comprehension, production, linguistics, semantics"
Cognitive Science,Decision Making and Judgment,"decision, making, rationality, heuristics, judgment"
Cognitive Science,Attention and Cognitive Control,"attention, selective, sustained, executive, control"
Cognitive Science,Problem Solving and Reasoning,"problem, solving, reasoning, logic, deduction"
Cognitive Science,Computational Neuroscience Modeling,"neural, networks, computation, brain, modeling"
Agentic AI,Multi-Agent Systems,"agent, multiagent, coordination, negotiation, interaction"
Agentic AI,Autonomous Agent Planning,"planning, reasoning, goal, environment, deliberation"
Agentic AI,Responsible Agentic AI,"safety, alignment, ethics, governance, responsible"
Agentic AI,LLM-Powered Agents,"llm, tool, memory, orchestration, chaining"
Agentic AI,Agent Learning & Adaptation,"learning, adaptation, reinforcement, evolution, self-improving"
Agentic AI,Human-Agent Interaction,"human-agent, collaboration, trust, interface, teaming"
Agentic AI,Agentic Problem Solving,"exploration, search, problem, solving, action"
Analogical Reasoning,Structural Mapping and Transfer,"mapping, structure, relations, similarity, transfer"
Analogical Reasoning,Analogical Problem Solving,"problem, solving, retrieval, source, target"
Analogical Reasoning,Metaphor and Conceptual Analogy,"metaphor, conceptual, language, figurative, creativity"
Analogical Reasoning,Analogical AI Systems,"ai, reasoning, models, computational, systems"
Analogical Reasoning,Justification of Analogical Reasoning,"justification, induction, deduction, argument, epistemology"
Analogical Reasoning,Analogy in Scientific Discovery,"scientific, discovery, model, hypothesis, innovation"
Sketch recognition,Digital Ink Processing,"digital, ink, strokes, segmentation, gestures"
Sketch recognition,Template-Based Recognition,"template, matching, primitive, feature, geometric"
Sketch recognition,Model Evaluation & Training,"classifier, training, accuracy, model, dataset"
Sketch recognition,Interactive Sketch Interfaces,"haptics, interaction, user, interface, multimodal"
Sketch recognition,Semantic Sketch Interpretation,"semantics, understanding, concept, context, domain"
Sketch recognition,Sketch-Based Image Retrieval,"retrieval, search, query, image, content"
LoRa modulation and performance analysis,Chirp Spread Spectrum,"chirp, spread, spectrum, css, bandwidth"
